m-es	méteres
Hz	hertz
MHz	megahertz
mp	másodperc
Mrd	milliárd
op.	opus
Ft-os	forintos
gimn.	gimnázium
hsz.	határozószó
isk.	iskola
ism.	ismétlés
ker.	kerület
kg-os	kilogrammos
kir.	király
km-es	kilométeres
korm.	kormány
köv.	következő
Kr.	Krisztus
krt.	körút
ktg.	költség
max.	maximum
dkg	dekagramm
db	darab
em.	emelet
évf.	évfolyam
fej.	fejezet
fn.	főnév
fszt.	földszint
Ft	forint
cm-es	centiméteres
cs.	csoport
dr.	doktor
prof.	professzor
u.	utca
tv.	törvény
tel.	telefon
Pf.	postafiók
alez.	alezredes
bek.	bekezdés
